timestamp,pm25
2026-02-23 19:00:00,25.85
2026-02-23 19:30:00,20.76
2026-02-23 20:15:00,18.58
2026-02-23 21:15:00,10.36
2026-02-23 21:30:00,14.64
2026-02-23 21:45:00,10.36
2026-02-23 22:00:00,16.47
2026-02-23 23:00:00,11.69
2026-02-23 23:15:00,11.69
2026-02-24 00:00:00,7.63
2026-02-24 00:15:00,7.63
2026-02-24 00:30:00,6.2
2026-02-24 00:45:00,7.63
2026-02-24 01:15:00,5.58
2026-02-24 01:30:00,6.81
2026-02-24 01:45:00,5.58
2026-02-24 02:15:00,7.33
2026-02-24 03:00:00,6.31
2026-02-24 04:00:00,12.27
2026-02-24 05:00:00,14.3
2026-02-24 05:30:00,12.75
2026-02-24 05:45:00,14.3
2026-02-24 06:00:00,12.08
2026-02-24 06:45:00,12.08
2026-02-24 07:00:00,13.61
2026-02-24 07:15:00,13.61
2026-02-24 07:30:00,17.36
2026-02-24 07:45:00,13.61
2026-02-24 08:00:00,18.97
2026-02-24 08:15:00,18.97
2026-02-24 08:45:00,18.97
2026-02-24 09:00:00,33.07
2026-02-24 09:15:00,33.07
2026-02-24 09:45:00,33.07
2026-02-24 10:00:00,34.18
2026-02-24 12:30:00,16.41
2026-02-24 12:45:00,16.44
2026-02-24 13:00:00,16.4
2026-02-24 13:15:00,16.4
2026-02-24 13:30:00,16.76
2026-02-24 13:45:00,16.4
2026-02-24 14:00:00,16.91
2026-02-24 14:15:00,16.91
2026-02-24 14:30:00,21.74
2026-02-25 12:15:00,18.48
2026-02-25 12:30:00,0.0
2026-02-25 12:45:00,18.48
2026-02-25 13:00:00,0.0
2026-02-25 13:15:00,0.0
2026-02-25 13:30:00,33.38
2026-02-25 13:45:00,0.0
2026-02-25 14:00:00,81.2
2026-02-25 14:15:00,81.2
2026-02-25 14:30:00,79.81
2026-02-25 14:45:00,81.2
2026-02-25 15:00:00,77.82
2026-02-25 15:15:00,77.82
2026-02-25 15:30:00,72.81
2026-02-25 15:45:00,77.82
2026-02-25 16:00:00,65.63
2026-02-25 16:15:00,65.63
2026-02-25 16:30:00,60.07
2026-02-25 16:45:00,65.63
2026-02-25 17:00:00,52.11
2026-02-25 17:15:00,52.11
2026-02-25 17:30:00,58.77
2026-02-25 17:45:00,52.11
2026-02-25 19:00:00,67.8
2026-02-25 19:15:00,67.8
2026-02-25 19:30:00,65.1
2026-02-25 19:45:00,61.24
2026-02-25 20:00:00,61.24
2026-02-25 20:15:00,61.24
2026-02-25 20:30:00,62.13
2026-02-25 20:45:00,61.24
2026-02-25 21:00:00,63.4
2026-02-25 21:15:00,63.4
2026-02-25 21:30:00,62.46
2026-02-25 21:45:00,63.4
2026-02-25 22:00:00,61.12
2026-02-25 22:15:00,61.12
2026-02-25 22:30:00,57.96
2026-02-25 22:45:00,61.12
2026-02-25 23:00:00,53.43
2026-02-25 23:15:00,53.43
2026-02-25 23:30:00,56.3
2026-02-25 23:45:00,53.43
2026-02-26 00:00:00,60.41
2026-02-26 00:15:00,60.41
2026-02-26 00:30:00,56.38
2026-02-26 00:45:00,60.41
2026-02-26 01:00:00,50.6
2026-02-26 01:15:00,50.6
2026-02-26 01:30:00,45.91
2026-02-26 01:45:00,50.6
2026-02-26 02:00:00,39.2
2026-02-26 02:15:00,39.2
2026-02-26 02:30:00,39.29
2026-02-26 02:45:00,39.2
2026-02-26 03:00:00,39.42
2026-02-26 03:15:00,39.42
2026-02-26 03:30:00,36.82
2026-02-26 03:45:00,39.42
2026-02-26 04:00:00,33.09
2026-02-26 04:15:00,33.09
2026-02-26 04:30:00,35.91
2026-02-26 04:45:00,33.09
2026-02-26 05:00:00,39.94
2026-02-26 05:15:00,39.94
2026-02-26 05:30:00,40.53
