timestamp,temperature,humidity,pressure,wind_speed,wind_direction,rainfall
2026-02-24 00:00:00,23.6,95,1006.4,2.1,59,0.0
2026-02-24 01:00:00,23.6,94,1007.6,3.9,56,0.0
2026-02-24 02:00:00,24.7,88,1008.5,4.8,25,0.0
2026-02-24 03:00:00,27.1,80,1009.1,3.3,29,0.0
2026-02-24 04:00:00,28.8,70,1009.7,1.3,16,0.0
2026-02-24 05:00:00,30.0,65,1009.6,1.7,252,0.0
2026-02-24 06:00:00,30.1,68,1008.9,7.1,221,0.0
2026-02-24 07:00:00,30.5,68,1007.8,9.9,232,0.0
2026-02-24 08:00:00,28.5,72,1007.2,10.1,186,0.4
2026-02-24 09:00:00,29.7,68,1006.5,5.0,215,0.1
2026-02-24 10:00:00,29.5,67,1006.2,5.8,184,0.0
2026-02-24 11:00:00,29.4,68,1006.3,6.7,226,0.0
2026-02-24 12:00:00,28.3,73,1006.7,4.9,272,0.0
2026-02-24 13:00:00,27.7,77,1007.3,4.3,225,0.1
2026-02-24 14:00:00,26.8,85,1008.2,3.6,229,0.0
2026-02-24 15:00:00,26.0,89,1009.2,5.6,73,0.0
2026-02-24 16:00:00,25.5,91,1009.8,3.2,16,0.0
2026-02-24 17:00:00,24.9,94,1010.0,2.7,8,0.0
2026-02-24 18:00:00,24.8,94,1010.1,4.7,342,0.0
2026-02-24 19:00:00,24.6,96,1009.7,5.1,324,0.0
2026-02-24 20:00:00,24.5,95,1009.1,11.1,335,0.0
2026-02-24 21:00:00,24.3,92,1008.4,7.5,339,0.0
2026-02-24 22:00:00,23.8,94,1008.2,5.6,331,0.0
2026-02-24 23:00:00,23.7,94,1008.4,6.1,326,0.0
2026-02-25 00:00:00,23.8,96,1009.1,4.8,333,0.0
2026-02-25 01:00:00,24.2,97,1010.1,7.7,360,0.0
2026-02-25 02:00:00,24.4,91,1010.8,7.9,24,0.0
2026-02-25 03:00:00,24.4,83,1012.2,20.4,354,0.1
2026-02-25 04:00:00,26.0,76,1012.0,6.2,350,0.1
2026-02-25 05:00:00,28.2,70,1012.2,8.1,332,0.0
2026-02-25 06:00:00,29.9,68,1011.6,11.6,283,0.0
2026-02-25 07:00:00,30.2,66,1010.3,14.1,268,0.0
2026-02-25 08:00:00,29.1,71,1009.6,13.4,265,0.1
